display_name,first_name,last_name,birth_date,college_name,position,jersey_number,height,weight,team_abbr,draft_club,headshot,draftround
Isaako Aaitui,Isaako,Aaitui,1/25/1987,,NT,,4-Jun,315,,,,
Faye Abbott,Faye,Abbott,1895-08-16,Syracuse,BB-FB-TB-QB-WB-,,8-May,182,,,,
Vince Abbott,Vince,Abbott,5/31/1958,Washington,K,,11-May,207,,,,
Duke Abbruzzi,Duke,Abbruzzi,8/3/1917,Rhode Island,HB-DB,,10-May,175,,,,
Karim Abdul-Jabbar,Karim,Abdul-Jabbar,6/28/1974,UCLA,RB,,10-May,194,,Miami Dolphins,,3rd
Isa Abdul-Quddus,Isa,Abdul-Quddus,8/3/1989,Fordham,S,,1-Jun,220,,,,
Hamza Abdullah,Hamza,Abdullah,8/20/1983,Washington St.,DB,,2-Jun,213,,Tampa Bay Buccaneers,,7th
Husain Abdullah,Husain,Abdullah,7/27/1985,Washington St.,DB,,Jun-00,204,,,,
Khalid Abdullah,Khalid,Abdullah,3/6/1979,Mars Hill,LB,,2-Jun,227,,Cincinnati Bengals,,5th
Rabih Abdullah,Rabih,Abdullah,4/27/1975,Lehigh,RB,,Jun-00,220,,,,
Rahim Abdullah,Rahim,Abdullah,3/22/1976,Clemson,LB,,5-Jun,233,,Cleveland Browns,,2nd
Fred Abel,Fred,Abel,7/17/1903,Washington,BB-FB,,10-May,170,,,,
Bud Abell,Bud,Abell,12/21/1940,Missouri,LB,,3-Jun,220,,Kansas City Chiefs,,23rd
Walter Abercrombie,Walter,Abercrombie,9/26/1959,Baylor,RB,,Jun-00,210,,Pittsburgh Steelers,,1st
Cliff Aberson,Cliff,Aberson,8/28/1921,none,TB-DB,,Jun-00,195,,,,
Victor Abiamiri,Victor,Abiamiri,1/14/1986,Notre Dame,DE,,4-Jun,267,,Philadelphia Eagles,,2nd
Oday Aboushi,Oday,Aboushi,6/5/1991,Virginia,OT,,5-Jun,308,,New York Jets,,5th
