display_name,first_name,last_name,birth_date,college_name,position,jersey_number,height,weight,team_abbr,draft_club,headshot,draftround
'Omar Ellison,'Omar,Ellison,1971-10-08,Florida State,WR,84,73,200,LAC,,,
A'Shawn Robinson,A'Shawn,Robinson,1995-03-21,Alabama,DE,94,76,330,CAR,DET,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/erkfjohq7j2kqigny727",2
A.J. Arcuri,A.J.,Arcuri,1997-08-13,Michigan State,T,61,79,320,LA,LA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rqisaua66gwc8wxgajz1",7
A.J. Barner,A.J.,Barner,2002-05-03,Michigan,TE,88,78,251,SEA,SEA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/msnzbeyjoemcas9dm8vt",4
A.J. Bouye,Arlandus,Bouye,1991-08-16,Central Florida,CB,24,72,191,CAR,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cpgi2hbhnmvs1oczkzas",
A.J. Brown,Arthur,Brown,1997-06-30,Mississippi,WR,11,72,226,PHI,TEN,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",2
A.J. Cann,Aaron,Cann,1991-10-03,South Carolina,G,60,75,325,HOU,JAX,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wnsy7wpssmnecbo46sxn",3
A.J. Cole,A.J.,Cole,1995-11-27,North Carolina State,P,6,76,220,LV,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iuaqixqidj73rkkwczso",
A.J. Cruz,A.J.,Cruz,,,WR,81,69,190,MIA,,,
A.J. Dalton,A.J.,Dalton,,,T,63,76,280,DET,,,
A.J. Davis,A.J.,Davis,,,CB,39,70,189,HOU,,,
A.J. Davis,A.J.,Davis,1989-07-06,,DB,20,72,183,NO,,,
A.J. Derby,A.J.,Derby,1991-09-20,Arkansas,TE,81,77,240,NO,NE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c2bqxdpyb4kn75l4qj1c",6
A.J. Dillon,Algiers,Dillon,1998-05-02,Boston College,RB,28,73,250,GB,GB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dmngnuthwbzaxzekg53u",2
A.J. Edds,A.J.,Edds,1987-09-18,,LB,57,76,256,JAX,,,
A.J. Epenesa,Andrew,Epenesa,1998-09-15,Iowa,DE,57,77,280,BUF,BUF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cuvz6epit4d0o8grclqm",2
A.J. Feeley,A.J.,Feeley,1977-05-16,,QB,4,75,216,LA,,,
A.J. Finley,Allister,Finley,2001-09-14,Mississippi,FS,30,75,205,SEA,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/odck8ibortcwvurmehkh",
A.J. Francis,A.J.,Francis,1990-05-07,Maryland,DT,65,77,332,NYG,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wvgsc8pg6oyf7pg2wfwx",
A.J. Green,Alvin,Green,1998-06-09,Oklahoma State,CB,28,73,185,LA,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lacmlfcdn7rcfdxkfkfp",
A.J. Green,Adriel,Green,1988-07-31,Georgia,WR,18,76,210,ARI,CIN,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/guj5a9vnnzqfiljupzuj",1
A.J. Greene,A.J.,Greene,,,T,75,77,298,CHI,,,
A.J. Harris,A.J.,Harris,,,RB,,73,230,SEA,,,
A.J. Hawk,A.J.,Hawk,1984-01-06,,LB,54,73,240,ATL,,,
A.J. Hawkins,A.J.,Hawkins,,,OL,67,73,310,KC,,,
A.J. Hendy,A.J.,Hendy,1993-04-08,Maryland,SAF,45,72,206,HOU,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rjuze503hxvs8z9d4mmr",
A.J. Howard,A.J.,Howard,1995-12-23,Appalachian State,DB,39,71,203,DET,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mr3j7fy0zkdyodudcv9j",
A.J. Jefferson,A.J.,Jefferson,1993-03-03,Mississippi State,DT,66,75,280,ATL,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hjgb3vyowdhrmiksahaf",
A.J. Jefferson,A.J.,Jefferson,1988-04-04,,CB,32,73,190,SEA,,,
A.J. Jenkins,A.J.,Jenkins,1989-09-08,,WR,16,73,195,DAL,,,
A.J. Johnson,A.J.,Johnson,1967-06-22,,DB,,68,175,LAC,,,
A.J. Jones,A.J.,Jones,,,LB,49,73,232,DEN,,,
A.J. Klein,Aaron,Klein,1991-07-30,Iowa State,OLB,52,73,240,BUF,CAR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ohrm5k7zku2mc5alnmz4",5
A.J. Lindeman,A.J.,Lindeman,,,T,72,78,300,CHI,,,
A.J. Love,A.J.,Love,,,WR,87,74,208,MIN,,,
A.J. Moore,Alvin,Moore,1995-12-15,Mississippi,FS,20,71,202,TEN,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dhu7ggjzqn7mdwhjdoxf",
A.J. Nicholson,A.J.,Nicholson,1983-06-25,,LB,52,73,240,CIN,,,
A.J. Ofodile,A.J.,Ofodile,1973-10-09,,TE,89,78,260,BAL,,,
A.J. Ouellette,A.J.,Ouellette,1995-07-20,Ohio U.,RB,1,69,208,CLE,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wdslzwmhmrlvlj9uwqqk",
A.J. Parker,A.J.,Parker,1998-02-15,Kansas State,CB,37,71,178,CAR,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tsgua6lcqdb7nobidicc",
A.J. Pataiali'i,A.J.,Pataiali'i,,,DT,64,75,319,NE,,,
A.J. Richardson,A.J.,Richardson,1995-06-02,Boise State,WR,83,72,212,ARI,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yfhvr21jrwhghwbryw7j",
A.J. Rose,Asim,Rose,1997-10-14,Kentucky,RB,24,74,218,LA,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l5pcsupy0dowq1bwz3bq",
A.J. Schable,A.J.,Schable,1984-05-18,,DE,63,75,281,SEA,,,
A.J. Simmons,A.J.,Simmons,,,TE,48,75,255,ATL,,,
A.J. Stamps,A.J.,Stamps,,,,,,,,,,
A.J. Tarpley,Aubrey,Tarpley,1992-04-30,Stanford,MLB,59,72,242,BUF,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o1olsqys8xaqlstlqnxs",
A.J. Terrell,A.J.,Terrell,1998-09-23,Clemson,CB,24,74,190,ATL,ATL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mijlbfupcqxu8g7mmm4i",1
A.J. Thomas,A.J.,Thomas,1999-09-18,Western Michigan,FS,35,74,220,NE,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/amdmh6tsjn6pdac7jb4w",
A.J. Trapasso,A.J.,Trapasso,,,P,,71,225,TEN,,,
A.J. Woods,Anthony,Woods,2001-03-28,Pittsburgh,CB,38,71,195,PHI,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eeegzubnhau027r5bte9",
A.Q. Shipley,Allan,Shipley,1986-05-22,Penn State,C,62,73,307,TB,PIT,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/df2cw9hh00iloruvgd6h",7
A.T. Hall,A.T.,Hall,1996-01-26,Stanford,T,73,76,303,TEN,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfm1e2juo1hwhy7gnica",
A.T. Perry,Atorian,Perry,1999-10-26,Wake Forest,WR,87,77,205,DEN,NO,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hmlejtujw0krefd40edq",6
AJ McCarron,Raymond,McCarron,1990-09-13,Alabama,QB,4,75,220,CIN,CIN,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fvakqnmsg35llkcme11h",5
Aarion Penton,Aarion,Penton,1994-09-03,Missouri,CB,34,69,187,LA,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bg4ai0g8jj7mtftasm44",
Aaron Adams,Aaron,Adams,,,OT,74,77,303,HOU,,,
Aaron Adeoye,Aaron,Adeoye,1993-08-26,Southeast Missouri,OLB,50,78,250,GB,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/d4npplxwllhowsrlhrwh",
Aaron Bailey,Aaron,Bailey,1971-10-24,,WR,80,70,185,IND,,,
Aaron Banks,Aaron,Banks,1997-09-03,Notre Dame,G,65,77,330,SF,SF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oe8sqkw3aeh1nvfofzqk",2
Aaron Beasley,Aaron,Beasley,1973-07-07,,CB,37,72,205,ATL,,,
Aaron Beasley,Aaron,Beasley,2000-10-03,Tennessee,LB,41,73,225,CAR,,,
Aaron Berry,Aaron,Berry,1988-06-25,,DB,38,69,190,CLE,,,
Aaron Brewer,Aaron,Brewer,1997-10-28,Texas State,G,55,75,270,MIA,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kebpn1b4ls7vavlwxrrf",
Aaron Brewer,Aaron,Brewer,1990-07-05,San Diego State,LS,46,77,232,ARI,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jyuyqxrvpdiyvdzbnnzb",
Aaron Brooks,Aaron,Brooks,1976-03-24,,QB,2,76,220,OAK,,,
Aaron Brown,Aaron,Brown,1985-10-10,,RB,33,73,200,CIN,,,
Aaron Brown,Aaron,Brown,,,WR,,75,210,NO,,,
Aaron Brown,Aaron,Brown,,,LB,50,72,237,LA,,,
Aaron Burbridge,Aaron,Burbridge,1993-12-23,Michigan State,WR,13,73,208,DEN,SF,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bugnmtls6p4dz9boruea",6
Aaron Casey,Aaron,Casey,2000-06-12,Indiana,LB,44,74,228,CIN,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dfiioowkknrjp6kqndwn",
Aaron Colvin,Aaron,Colvin,1991-10-02,Oklahoma,CB,34,72,191,WAS,JAX,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l0qcqv0kumps0djtq9gs",4
Aaron Corp,Aaron,Corp,,,QB,4,76,195,MIA,,,
Aaron Cox,Aaron,Cox,1965-03-13,,WR,,69,174,IND,,,
Aaron Craver,Aaron,Craver,1968-12-18,,FB,32,72,232,NO,,,
Aaron Crawford,Aaron,Crawford,1997-11-04,North Carolina,DT,97,74,290,LAC,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qn55mnmerkmfvl660yiu",
Aaron Curry,Aaron,Curry,1986-04-06,,LB,59,74,255,NYG,,,
Aaron Davis,Aaron,Davis,1994-10-18,Georgia,DB,0,73,195,TB,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/funqsenbk1aczitmepxi",
Aaron Dobson,Aaron,Dobson,1991-07-23,Marshall,WR,83,75,205,ARI,NE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/es1l8zn20xgfxqh8ophi",2
Aaron Donald,Aaron,Donald,1991-05-23,Pittsburgh,DT,99,73,280,LA,STL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gou42dathlyc1rfn4pga",1
Aaron Donkor,Aaron,Donkor,1995-03-21,Arkansas State,OLB,43,72,234,SEA,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jntbnthuhadyvaitoass",
Aaron Dykes,Aaron,Dykes,,Richmond,RB,46,71,202,MIN,,,
Aaron Elling,Aaron,Elling,1978-05-31,,K,5,74,201,OAK,,,
Aaron Epps,Aaron,Epps,1992-11-16,,OT,,78,305,ARI,,,
Aaron Evans,Aaron,Evans,1995-01-07,Central Florida,T,63,78,319,PHI,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gskebp1zhl23ij2c6aob",
Aaron Fields,Aaron,Fields,1976-01-09,,DE,97,76,243,DAL,,,
Aaron Francisco,Aaron,Francisco,1983-07-05,,DB,47,74,207,TEN,,,
Aaron Fuller,Aaron,Fuller,1997-09-30,Washington,WR,13,71,188,SEA,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/omqoxbzqhwpafubfvwi5",
Aaron Gibson,Aaron,Gibson,1977-09-27,,T,74,78,375,BUF,,,
Aaron Glenn,Aaron,Glenn,1972-07-16,,DB,31,69,183,NO,,,
Aaron Graham,Aaron,Graham,1973-05-22,,C,60,76,301,TEN,,,
Aaron Green,Aaron,Green,1992-10-15,Texas Christian,RB,36,71,206,BUF,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/anslkst49vnkun4o3qbh",
Aaron Grymes,Aaron,Grymes,1991-03-01,Idaho,DB,38,71,185,PHI,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mwdmv8ctbcd4jl8roi6a",
Aaron Halterman,Aaron,Halterman,1982-03-31,,TE,,77,265,MIA,,,
Aaron Hansford,Aaron,Hansford,,Texas A&amp;M,LB,43,74,240,DAL,,,
Aaron Hayden,Aaron,Hayden,1973-04-13,,RB,33,72,216,PHI,,,
Aaron Henry,Aaron,Henry,,,SAF,42,72,208,OAK,,,
Aaron Hernandez,Aaron,Hernandez,1989-11-06,,TE,81,73,245,NE,,,
Aaron Hester,Aaron,Hester,,,DB,44,73,207,KC,,,
Aaron Hill,Aaron,Hill,,,LB,51,73,231,LA,,,
Aaron Hosack,Aaron,Hosack,,,WR,13,77,229,NO,,,
Aaron Jones,Aaron,Jones,1994-12-02,Texas-El Paso,RB,33,69,208,MIN,GB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",5
Aaron Jones,Aaron,Jones,1966-12-18,,DE,97,77,267,MIA,,,
Aaron Kampman,Aaron,Kampman,1979-11-30,,DE,74,76,260,JAX,,,
Aaron Kelly,Aaron,Kelly,,,WR,15,77,203,ATL,,,
Aaron Koch,Aaron,Koch,1978-02-21,,G,64,75,299,JAX,,,
Aaron Lacombe,Aaron,Lacombe,1995-04-06,California Lutheran,WR,15,75,205,LA,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xf3oeuuqyb3xwy7nwqvk",
Aaron Laing,Aaron,Laing,1971-07-19,,TE,45,75,260,LA,,,
Aaron Lavarias,Aaron,Lavarias,,,DE,60,75,250,NE,,,
Aaron Lynch,Aaron,Lynch,1993-02-08,South Florida,OLB,59,77,285,JAX,SF,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eepo21lvha6g6gfor9wd",5
Aaron Maddox,Aaron,Maddox,,Campbell,FS,48,73,210,IND,,,
Aaron Maybin,Aaron,Maybin,1988-04-06,,LB,51,76,237,CIN,,,
Aaron Mellette,Aaron,Mellette,1989-12-28,,WR,13,74,217,BAL,,,
Aaron Merz,Aaron,Merz,1983-08-27,,G,62,76,325,BUF,,,
Aaron Monteiro,Aaron,Monteiro,1997-03-25,Boston College,T,67,78,315,WAS,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/szwhuykucdpipgpkbije",
